datetime,open,close,high,low,volume,amount,avg_price
2026-02-09 13:09:00,11.04,11.04,11.05,11.04,3092,3413683.0,11.057
2026-02-09 13:10:00,11.04,11.04,11.05,11.04,834,920767.0,11.057
2026-02-09 13:11:00,11.04,11.04,11.05,11.04,646,713486.0,11.057
2026-02-09 13:12:00,11.04,11.04,11.05,11.04,231,255040.0,11.057
2026-02-09 13:13:00,11.04,11.04,11.05,11.04,374,413161.0,11.057
2026-02-09 13:14:00,11.04,11.05,11.05,11.04,3098,3420243.0,11.057
2026-02-09 13:15:00,11.05,11.05,11.05,11.04,747,824764.0,11.057
2026-02-09 13:16:00,11.05,11.04,11.05,11.04,636,702257.0,11.057
2026-02-09 13:17:00,11.04,11.04,11.05,11.04,510,563432.0,11.057
2026-02-09 13:18:00,11.04,11.05,11.05,11.04,3990,4408935.0,11.057
2026-02-09 13:19:00,11.05,11.06,11.06,11.05,722,798449.0,11.057
2026-02-09 13:20:00,11.06,11.05,11.06,11.05,694,767400.0,11.057
2026-02-09 13:21:00,11.05,11.06,11.06,11.05,333,368031.0,11.057
2026-02-09 13:22:00,11.06,11.05,11.06,11.05,1003,1108837.0,11.057
2026-02-09 13:23:00,11.05,11.05,11.06,11.05,735,812213.0,11.057
2026-02-09 13:24:00,11.05,11.04,11.05,11.04,2775,3065989.0,11.057
2026-02-09 13:25:00,11.04,11.04,11.05,11.04,967,1068194.0,11.057
2026-02-09 13:26:00,11.04,11.06,11.06,11.05,1025,1132637.0,11.057
2026-02-09 13:27:00,11.06,11.05,11.05,11.04,906,1000908.0,11.057
2026-02-09 13:28:00,11.05,11.05,11.05,11.04,386,426177.0,11.057
2026-02-09 13:29:00,11.05,11.04,11.05,11.04,342,377621.0,11.057
2026-02-09 13:30:00,11.04,11.04,11.05,11.04,2961,3269073.0,11.057
2026-02-09 13:31:00,11.04,11.05,11.05,11.04,932,1029325.0,11.057
2026-02-09 13:32:00,11.05,11.04,11.05,11.04,535,591064.0,11.057
2026-02-09 13:33:00,11.04,11.04,11.05,11.04,2380,2629305.0,11.057
2026-02-09 13:34:00,11.04,11.05,11.05,11.04,1513,1671694.0,11.057
2026-02-09 13:35:00,11.05,11.06,11.06,11.04,2019,2230865.0,11.056
2026-02-09 13:36:00,11.06,11.04,11.06,11.04,1484,1639803.0,11.056
2026-02-09 13:37:00,11.04,11.06,11.06,11.04,955,1055721.0,11.056
2026-02-09 13:38:00,11.06,11.06,11.06,11.05,172,190122.0,11.056
2026-02-09 13:39:00,11.06,11.06,11.06,11.05,241,266480.0,11.056
2026-02-09 13:40:00,11.06,11.05,11.06,11.05,1436,1588023.0,11.056
2026-02-09 13:41:00,11.05,11.06,11.06,11.05,326,360367.0,11.056
2026-02-09 13:42:00,11.06,11.05,11.06,11.05,677,748154.0,11.056
2026-02-09 13:43:00,11.05,11.05,11.06,11.05,719,794857.0,11.056
2026-02-09 13:44:00,11.05,11.05,11.06,11.05,752,831168.0,11.056
2026-02-09 13:45:00,11.05,11.05,11.06,11.05,936,1034571.0,11.056
2026-02-09 13:46:00,11.05,11.05,11.06,11.05,1850,2044337.0,11.056
2026-02-09 13:47:00,11.05,11.05,11.06,11.05,3423,3782849.0,11.056
2026-02-09 13:48:00,11.05,11.05,11.06,11.05,295,325974.0,11.056
2026-02-09 13:49:00,11.05,11.05,11.06,11.05,399,441112.0,11.056
2026-02-09 13:50:00,11.05,11.06,11.06,11.05,469,518617.0,11.056
2026-02-09 13:51:00,11.06,11.06,11.06,11.05,669,739466.0,11.056
2026-02-09 13:52:00,11.06,11.05,11.06,11.05,561,620413.0,11.056
2026-02-09 13:53:00,11.05,11.06,11.06,11.05,299,330636.0,11.056
2026-02-09 13:54:00,11.06,11.06,11.06,11.05,551,609303.0,11.056
2026-02-09 13:55:00,11.06,11.05,11.06,11.05,579,640158.0,11.056
2026-02-09 13:56:00,11.05,11.05,11.06,11.05,2810,3107756.0,11.056
2026-02-09 13:57:00,11.05,11.06,11.06,11.05,749,828144.0,11.056
2026-02-09 13:58:00,11.06,11.05,11.06,11.05,548,605875.0,11.056
2026-02-09 13:59:00,11.05,11.05,11.06,11.05,551,609048.0,11.056
2026-02-09 14:00:00,11.05,11.05,11.06,11.05,241,266472.0,11.056
2026-02-09 14:01:00,11.05,11.06,11.06,11.05,1190,1315889.0,11.056
2026-02-09 14:02:00,11.06,11.06,11.06,11.05,1124,1242251.0,11.056
2026-02-09 14:03:00,11.06,11.05,11.06,11.05,3779,4175875.0,11.056
2026-02-09 14:04:00,11.05,11.05,11.06,11.05,5450,6023073.0,11.056
2026-02-09 14:05:00,11.05,11.06,11.06,11.05,417,460716.0,11.056
2026-02-09 14:06:00,11.06,11.06,11.06,11.05,704,778376.0,11.056
2026-02-09 14:07:00,11.06,11.05,11.06,11.05,381,421119.0,11.056
2026-02-09 14:08:00,11.05,11.05,11.06,11.05,292,322810.0,11.056
2026-02-09 14:09:00,11.05,11.05,11.06,11.05,1681,1857834.0,11.056
2026-02-09 14:10:00,11.05,11.05,11.06,11.05,518,572443.0,11.056
2026-02-09 14:11:00,11.05,11.05,11.06,11.05,784,866808.0,11.056
2026-02-09 14:12:00,11.05,11.05,11.06,11.05,818,904153.0,11.056
2026-02-09 14:13:00,11.05,11.05,11.06,11.05,1006,1111944.0,11.056
2026-02-09 14:14:00,11.05,11.05,11.06,11.05,1327,1466437.0,11.056
2026-02-09 14:15:00,11.05,11.05,11.06,11.05,742,820151.0,11.056
2026-02-09 14:16:00,11.05,11.05,11.06,11.05,811,896351.0,11.056
2026-02-09 14:17:00,11.05,11.05,11.06,11.05,1273,1407103.0,11.056
2026-02-09 14:18:00,11.05,11.05,11.06,11.05,517,571452.0,11.056
2026-02-09 14:19:00,11.05,11.06,11.06,11.05,877,969483.0,11.056
2026-02-09 14:20:00,11.06,11.05,11.06,11.05,649,717510.0,11.056
2026-02-09 14:21:00,11.05,11.05,11.06,11.05,524,579410.0,11.056
2026-02-09 14:22:00,11.05,11.05,11.06,11.05,870,961603.0,11.056
2026-02-09 14:23:00,11.05,11.06,11.06,11.05,679,750664.0,11.056
2026-02-09 14:24:00,11.06,11.06,11.06,11.05,1908,2109405.0,11.056
2026-02-09 14:25:00,11.06,11.05,11.06,11.05,981,1084326.0,11.056
2026-02-09 14:26:00,11.05,11.06,11.06,11.05,4126,4559581.0,11.056
