成交时间,成交价格,价格变动,成交量,成交金额,性质
09:44:15,10.96,0.0,101,110638,买盘
09:44:18,10.95,-0.01,76,83223,卖盘
09:44:21,10.96,0.01,29,31771,买盘
09:44:24,10.96,0.0,154,168784,买盘
09:44:27,10.96,0.0,42,46032,买盘
09:44:30,10.96,0.0,9,9864,买盘
09:44:33,10.96,0.0,85,93083,买盘
09:44:39,10.95,-0.01,13,14247,卖盘
09:44:42,10.95,0.0,77,84324,卖盘
09:44:45,10.96,0.01,71,77752,买盘
09:44:48,10.95,-0.01,178,194930,卖盘
09:44:51,10.95,0.0,162,177506,卖盘
09:44:54,10.96,0.01,42,46032,买盘
09:45:03,10.95,-0.01,129,141283,卖盘
09:45:06,10.96,0.01,14,15344,买盘
09:45:09,10.96,0.0,67,73432,买盘
09:45:12,10.95,-0.01,4,4381,卖盘
09:45:15,10.96,0.01,36,39440,买盘
09:45:18,10.96,0.0,12,13152,买盘
09:45:21,10.96,0.0,27,29582,买盘
09:45:27,10.95,-0.01,23,25185,卖盘
09:45:30,10.95,0.0,133,145636,卖盘
09:45:33,10.96,0.01,246,269496,买盘
09:45:36,10.95,-0.01,76,83225,卖盘
09:45:39,10.96,0.01,78,85461,买盘
09:45:42,10.96,0.0,16,17536,买盘
09:45:45,10.95,-0.01,858,940291,卖盘
09:45:48,10.95,0.0,29,31755,卖盘
09:45:51,10.96,0.01,1,1096,买盘
09:45:54,10.95,-0.01,30,32851,卖盘
09:45:57,10.96,0.01,209,228864,买盘
09:46:00,10.96,0.0,21,23015,买盘
09:46:03,10.96,0.0,123,134730,买盘
09:46:06,10.96,0.0,66,72336,买盘
09:46:09,10.96,0.0,69,75624,买盘
09:46:12,10.96,0.0,11,12056,买盘
09:46:15,10.95,-0.01,47,51483,卖盘
09:46:18,10.95,0.0,53,58036,卖盘
09:46:21,10.95,0.0,55,60251,卖盘
09:46:24,10.96,0.01,7,7672,买盘
09:46:27,10.96,0.0,43,47096,买盘
09:46:30,10.96,0.0,33,36168,买盘
09:46:33,10.95,-0.01,18,19713,卖盘
09:46:36,10.96,0.01,215,235601,买盘
09:46:39,10.96,0.0,192,210433,买盘
09:46:42,10.96,0.0,4,4385,卖盘
09:46:45,10.96,0.0,29,31811,卖盘
09:46:48,10.96,0.0,18,19728,卖盘
09:46:51,10.96,0.0,91,99736,卖盘
09:46:54,10.96,0.0,15,16440,卖盘
09:46:57,10.96,0.0,84,92076,卖盘
09:47:00,10.96,0.0,19,20824,卖盘
09:47:03,10.97,0.01,36,39486,买盘
09:47:06,10.96,-0.01,3,3289,卖盘
09:47:09,10.97,0.01,235,257795,买盘
09:47:12,10.96,-0.01,39,42771,卖盘
09:47:15,10.97,0.01,7,7679,买盘
09:47:18,10.97,0.0,40,43849,买盘
09:47:21,10.97,0.0,310,340070,买盘
09:47:24,10.97,0.0,87,95439,买盘
09:47:27,10.97,0.0,23,25231,买盘
09:47:30,10.97,0.0,16,17552,买盘
09:47:33,10.97,0.0,9,9866,买盘
09:47:36,10.97,0.0,9,9873,买盘
09:47:48,10.96,-0.01,6,6576,卖盘
09:47:51,10.97,0.01,17,18637,买盘
09:47:54,10.97,0.0,14,15358,买盘
09:47:57,10.97,0.0,156,171132,买盘
09:48:00,10.96,-0.01,1,1096,卖盘
09:48:03,10.96,0.0,261,286066,卖盘
09:48:06,10.97,0.01,50,54850,买盘
09:48:12,10.96,-0.01,4,4384,卖盘
09:48:15,10.96,0.0,5,5480,卖盘
09:48:18,10.96,0.0,2,2192,卖盘
09:48:21,10.96,0.0,2,2192,卖盘
